Epoch: 0, Train Loss: 1.5022069217298952, Train Accuracy: 44.622, Test Loss: 1.337668045759201, Test Accuracy: 54.03
Epoch: 1, Train Loss: 0.9482906126915036, Train Accuracy: 66.15, Test Loss: 0.996581745147705, Test Accuracy: 66.12
Epoch: 2, Train Loss: 0.7288174812141281, Train Accuracy: 74.598, Test Loss: 1.0121675539016723, Test Accuracy: 66.7
Epoch: 3, Train Loss: 0.612564243776414, Train Accuracy: 78.766, Test Loss: 0.9021620219945907, Test Accuracy: 71.03
Epoch: 4, Train Loss: 0.5513455318215558, Train Accuracy: 81.028, Test Loss: 0.6509308034181595, Test Accuracy: 77.73
Epoch: 5, Train Loss: 0.5120862184278191, Train Accuracy: 82.334, Test Loss: 0.8124564936757088, Test Accuracy: 73.87
Epoch: 6, Train Loss: 0.47730796885155047, Train Accuracy: 83.488, Test Loss: 0.554940779209137, Test Accuracy: 81.59
Epoch: 7, Train Loss: 0.4550608323739313, Train Accuracy: 84.432, Test Loss: 0.6772866609692574, Test Accuracy: 77.71
Epoch: 8, Train Loss: 0.43782141789450973, Train Accuracy: 85.098, Test Loss: 0.6802850019931793, Test Accuracy: 77.26
Epoch: 9, Train Loss: 0.42991731100527525, Train Accuracy: 85.222, Test Loss: 0.7207724636793137, Test Accuracy: 76.18
Epoch: 10, Train Loss: 0.42068108432280743, Train Accuracy: 85.602, Test Loss: 0.6282606530189514, Test Accuracy: 80.19
Epoch: 11, Train Loss: 0.40760874565300126, Train Accuracy: 85.848, Test Loss: 0.7066994059085846, Test Accuracy: 77.02
Epoch: 12, Train Loss: 0.4033543894739102, Train Accuracy: 85.958, Test Loss: 0.5973087257146835, Test Accuracy: 79.95
Epoch: 13, Train Loss: 0.38997801437097435, Train Accuracy: 86.656, Test Loss: 0.6273104602098465, Test Accuracy: 79.2
Epoch: 14, Train Loss: 0.37735593216041163, Train Accuracy: 87.006, Test Loss: 0.8988058108091355, Test Accuracy: 72.97
Epoch: 15, Train Loss: 0.3744795877686547, Train Accuracy: 87.022, Test Loss: 0.9496357005834579, Test Accuracy: 70.92
Epoch: 16, Train Loss: 0.3665302078361097, Train Accuracy: 87.376, Test Loss: 0.7697437858581543, Test Accuracy: 75.63
Epoch: 17, Train Loss: 0.35929729139713373, Train Accuracy: 87.68, Test Loss: 0.6032581958174705, Test Accuracy: 80.37
Epoch: 18, Train Loss: 0.35268709414145527, Train Accuracy: 87.964, Test Loss: 0.7029278561472893, Test Accuracy: 78.01
Epoch: 19, Train Loss: 0.3556062207959802, Train Accuracy: 87.804, Test Loss: 0.8545527827739715, Test Accuracy: 75.83
