Epoch: 0, Train Loss: 1.75498987951547, Train Accuracy: 35.894, Test Loss: 1.382303411960602, Test Accuracy: 49.19
Epoch: 1, Train Loss: 1.322859381775722, Train Accuracy: 52.082, Test Loss: 1.184863035082817, Test Accuracy: 57.68
Epoch: 2, Train Loss: 1.0932244649323661, Train Accuracy: 61.04, Test Loss: 0.9916809964179992, Test Accuracy: 64.27
Epoch: 3, Train Loss: 0.9279941126818547, Train Accuracy: 67.478, Test Loss: 0.9301697385311126, Test Accuracy: 67.37
Epoch: 4, Train Loss: 0.8286429800645775, Train Accuracy: 71.674, Test Loss: 0.9507118690013886, Test Accuracy: 68.06
Epoch: 5, Train Loss: 0.7725160495399515, Train Accuracy: 73.618, Test Loss: 0.8546277552843093, Test Accuracy: 71.37
Epoch: 6, Train Loss: 0.7276071760508106, Train Accuracy: 75.294, Test Loss: 0.9013932162523269, Test Accuracy: 69.47
Epoch: 7, Train Loss: 0.7022740837100827, Train Accuracy: 76.116, Test Loss: 0.754130394756794, Test Accuracy: 74.46
Epoch: 8, Train Loss: 0.6836743037718946, Train Accuracy: 76.74, Test Loss: 0.9865826743841172, Test Accuracy: 66.85
Epoch: 9, Train Loss: 0.6691056286434993, Train Accuracy: 77.342, Test Loss: 1.0684451800584793, Test Accuracy: 64.7
Epoch: 10, Train Loss: 0.6535255407433376, Train Accuracy: 77.65, Test Loss: 0.8658992290496826, Test Accuracy: 70.49
Epoch: 11, Train Loss: 0.6467557483926758, Train Accuracy: 78.108, Test Loss: 0.8268277037143708, Test Accuracy: 71.9
Epoch: 12, Train Loss: 0.6414545927663593, Train Accuracy: 78.108, Test Loss: 0.8272889518737793, Test Accuracy: 72.09
Epoch: 13, Train Loss: 0.6391487976779109, Train Accuracy: 78.232, Test Loss: 0.9135551708936691, Test Accuracy: 70.57
Epoch: 14, Train Loss: 0.6287284886745541, Train Accuracy: 78.568, Test Loss: 1.043824427127838, Test Accuracy: 65.81
Epoch: 15, Train Loss: 0.6240512227158412, Train Accuracy: 78.902, Test Loss: 0.7506715631484986, Test Accuracy: 74.67
Epoch: 16, Train Loss: 0.6179075821128952, Train Accuracy: 78.926, Test Loss: 0.8029187005758286, Test Accuracy: 73.83
Epoch: 17, Train Loss: 0.6143572694047943, Train Accuracy: 79.268, Test Loss: 1.0153913551568985, Test Accuracy: 67.26
Epoch: 18, Train Loss: 0.6149550517806617, Train Accuracy: 79.154, Test Loss: 0.7911660021543503, Test Accuracy: 74.32
Epoch: 19, Train Loss: 0.6074381884559036, Train Accuracy: 79.44, Test Loss: 0.9043866407871246, Test Accuracy: 71.22
