Epoch: 0, Train Loss: 1.658754185947311, Train Accuracy: 39.25, Test Loss: 1.4139455664157867, Test Accuracy: 48.16
Epoch: 1, Train Loss: 1.1386447436059528, Train Accuracy: 59.274, Test Loss: 1.2916873186826705, Test Accuracy: 55.21
Epoch: 2, Train Loss: 0.9329059727661445, Train Accuracy: 66.998, Test Loss: 0.9070714694261551, Test Accuracy: 68.76
Epoch: 3, Train Loss: 0.7966007855542175, Train Accuracy: 72.13, Test Loss: 0.7968689608573913, Test Accuracy: 72.91
Epoch: 4, Train Loss: 0.713486490499638, Train Accuracy: 75.252, Test Loss: 0.8251896411180496, Test Accuracy: 71.79
Epoch: 5, Train Loss: 0.6638287220464643, Train Accuracy: 77.13, Test Loss: 0.6906857007741928, Test Accuracy: 76.57
Epoch: 6, Train Loss: 0.6312538278682153, Train Accuracy: 78.254, Test Loss: 0.7089013087749482, Test Accuracy: 75.39
Epoch: 7, Train Loss: 0.6168519016117087, Train Accuracy: 79.012, Test Loss: 0.7806831008195877, Test Accuracy: 73.89
Epoch: 8, Train Loss: 0.6007408480662519, Train Accuracy: 79.136, Test Loss: 0.8382941442728042, Test Accuracy: 72.61
Epoch: 9, Train Loss: 0.5940230735732467, Train Accuracy: 79.75, Test Loss: 0.8194964903593064, Test Accuracy: 73.08
Epoch: 10, Train Loss: 0.5902619637034433, Train Accuracy: 79.706, Test Loss: 0.647721481025219, Test Accuracy: 77.75
Epoch: 11, Train Loss: 0.5890719998065773, Train Accuracy: 79.848, Test Loss: 0.8353839129209518, Test Accuracy: 72.44
Epoch: 12, Train Loss: 0.5860282360287883, Train Accuracy: 80.144, Test Loss: 0.7102893623709678, Test Accuracy: 76.76
Epoch: 13, Train Loss: 0.582098637929048, Train Accuracy: 80.034, Test Loss: 0.75590860247612, Test Accuracy: 74.77
Epoch: 14, Train Loss: 0.576556436698455, Train Accuracy: 80.292, Test Loss: 0.7326390114426613, Test Accuracy: 75.12
Epoch: 15, Train Loss: 0.5780654428407664, Train Accuracy: 80.062, Test Loss: 0.6921412223577499, Test Accuracy: 76.96
Epoch: 16, Train Loss: 0.5667036387621595, Train Accuracy: 80.694, Test Loss: 0.6338944634795189, Test Accuracy: 78.85
Epoch: 17, Train Loss: 0.5718746657109322, Train Accuracy: 80.238, Test Loss: 0.6248332718014717, Test Accuracy: 79.33
Epoch: 18, Train Loss: 0.5737407569537687, Train Accuracy: 80.332, Test Loss: 0.7110979837179184, Test Accuracy: 76.04
Epoch: 19, Train Loss: 0.5689935200202191, Train Accuracy: 80.642, Test Loss: 0.5742426708340644, Test Accuracy: 80.34
