Epoch: 0, Train Loss: 1.637581764584612, Train Accuracy: 38.776, Test Loss: 1.3162091779708862, Test Accuracy: 52.84
Epoch: 1, Train Loss: 1.137735834359513, Train Accuracy: 58.976, Test Loss: 1.0071357417106628, Test Accuracy: 64.35
Epoch: 2, Train Loss: 0.9227746926305239, Train Accuracy: 66.99, Test Loss: 0.9057182747125626, Test Accuracy: 68.36
Epoch: 3, Train Loss: 0.7874080881743175, Train Accuracy: 72.034, Test Loss: 0.7569260281324387, Test Accuracy: 74.1
Epoch: 4, Train Loss: 0.6858780755258888, Train Accuracy: 75.828, Test Loss: 0.692823095023632, Test Accuracy: 76.49
Epoch: 5, Train Loss: 0.6139735413329376, Train Accuracy: 78.438, Test Loss: 0.5958056056499481, Test Accuracy: 79.36
Epoch: 6, Train Loss: 0.5592779375403129, Train Accuracy: 80.458, Test Loss: 0.6144768264889717, Test Accuracy: 79.01
Epoch: 7, Train Loss: 0.5218917804453379, Train Accuracy: 81.852, Test Loss: 0.5515189301967621, Test Accuracy: 81.36
Epoch: 8, Train Loss: 0.47496161627037753, Train Accuracy: 83.606, Test Loss: 0.5216713383793831, Test Accuracy: 82.38
Epoch: 9, Train Loss: 0.45605831149289067, Train Accuracy: 84.32, Test Loss: 0.4993260490894318, Test Accuracy: 83.32
Epoch: 10, Train Loss: 0.42733037719488753, Train Accuracy: 85.17, Test Loss: 0.4602026057243347, Test Accuracy: 84.68
Epoch: 11, Train Loss: 0.4084572816824974, Train Accuracy: 85.978, Test Loss: 0.45704269453883173, Test Accuracy: 84.44
Epoch: 12, Train Loss: 0.38841571611211734, Train Accuracy: 86.548, Test Loss: 0.4499337340891361, Test Accuracy: 84.86
Epoch: 13, Train Loss: 0.36633771593156067, Train Accuracy: 87.284, Test Loss: 0.45983401030302046, Test Accuracy: 84.66
Epoch: 14, Train Loss: 0.35329177480219576, Train Accuracy: 87.708, Test Loss: 0.437766814827919, Test Accuracy: 85.32
Epoch: 15, Train Loss: 0.3325543850660324, Train Accuracy: 88.504, Test Loss: 0.4280625855922699, Test Accuracy: 85.6
Epoch: 16, Train Loss: 0.3193003068799558, Train Accuracy: 88.846, Test Loss: 0.4094513560831547, Test Accuracy: 86.41
Epoch: 17, Train Loss: 0.3110999762249725, Train Accuracy: 89.166, Test Loss: 0.4065821778774261, Test Accuracy: 85.91
Epoch: 18, Train Loss: 0.29573757999845784, Train Accuracy: 89.756, Test Loss: 0.4154414644837379, Test Accuracy: 86.44
Epoch: 19, Train Loss: 0.2896442015838745, Train Accuracy: 89.896, Test Loss: 0.39580376774072645, Test Accuracy: 86.59
