Epoch: 0, Train Loss: 2.524989841996556, Train Accuracy: 21.398, Test Loss: 3.3494795060157774, Test Accuracy: 26.3
Epoch: 1, Train Loss: 1.9360559573563774, Train Accuracy: 32.942, Test Loss: 35.078692245483396, Test Accuracy: 18.28
Epoch: 2, Train Loss: 1.7495188931065142, Train Accuracy: 42.448, Test Loss: 1.8232450330257415, Test Accuracy: 42.9
Epoch: 3, Train Loss: 1.5543005588414418, Train Accuracy: 52.73, Test Loss: 2.017845001220703, Test Accuracy: 40.46
Epoch: 4, Train Loss: 1.4247204008919503, Train Accuracy: 59.506, Test Loss: 1.7728136479854584, Test Accuracy: 44.67
Epoch: 5, Train Loss: 1.321647266597699, Train Accuracy: 64.556, Test Loss: 1.3739958059787751, Test Accuracy: 64.16
Epoch: 6, Train Loss: 1.234355037245909, Train Accuracy: 68.676, Test Loss: 1.5373402798175813, Test Accuracy: 61.03
Epoch: 7, Train Loss: 1.1736328575159887, Train Accuracy: 71.56, Test Loss: 1.224676525592804, Test Accuracy: 70.95
Epoch: 8, Train Loss: 1.1235977585053505, Train Accuracy: 73.988, Test Loss: 1.1429943507909774, Test Accuracy: 74.36
Epoch: 9, Train Loss: 1.0831197416386031, Train Accuracy: 75.756, Test Loss: 1.2343278336524963, Test Accuracy: 71.93
Epoch: 10, Train Loss: 1.0425485492972157, Train Accuracy: 77.686, Test Loss: 2.4690814983844755, Test Accuracy: 69.01
Epoch: 11, Train Loss: 1.0121360826675239, Train Accuracy: 79.062, Test Loss: 1.1297435528039932, Test Accuracy: 75.36
Epoch: 12, Train Loss: 0.9831897505866293, Train Accuracy: 80.58, Test Loss: 1.0613521504402161, Test Accuracy: 78.86
Epoch: 13, Train Loss: 0.9547364525782788, Train Accuracy: 81.74, Test Loss: 0.9791121608018876, Test Accuracy: 82.09
Epoch: 14, Train Loss: 0.933522311013068, Train Accuracy: 82.672, Test Loss: 1.0565482664108277, Test Accuracy: 78.26
Epoch: 15, Train Loss: 0.9141503337704008, Train Accuracy: 83.47, Test Loss: 1.0895228469371796, Test Accuracy: 79.04
Epoch: 16, Train Loss: 0.8912202526083992, Train Accuracy: 84.516, Test Loss: 0.9255100530385971, Test Accuracy: 84.69
