Epoch: 0, Train Loss: 1.6807754274524387, Train Accuracy: 38.426, Test Loss: 1.384734262228012, Test Accuracy: 51.07
Epoch: 1, Train Loss: 1.158437667600334, Train Accuracy: 58.316, Test Loss: 1.0346980947256088, Test Accuracy: 64.83
Epoch: 2, Train Loss: 0.9076421024549343, Train Accuracy: 67.69, Test Loss: 0.8519832080602646, Test Accuracy: 69.95
Epoch: 3, Train Loss: 0.7402953042093751, Train Accuracy: 74.004, Test Loss: 1.040581178665161, Test Accuracy: 67.02
Epoch: 4, Train Loss: 0.6104098838156141, Train Accuracy: 78.826, Test Loss: 0.8646575164794922, Test Accuracy: 71.47
Epoch: 5, Train Loss: 0.538220474634634, Train Accuracy: 81.596, Test Loss: 0.6362658226490021, Test Accuracy: 78.69
Epoch: 6, Train Loss: 0.4975086740215721, Train Accuracy: 83.14, Test Loss: 0.6165649828314781, Test Accuracy: 79.14
Epoch: 7, Train Loss: 0.4681923247664176, Train Accuracy: 84.126, Test Loss: 0.7697133088111877, Test Accuracy: 74.1
Epoch: 8, Train Loss: 0.45071516790048544, Train Accuracy: 84.746, Test Loss: 0.613469585776329, Test Accuracy: 79.55
Epoch: 9, Train Loss: 0.4311842567399335, Train Accuracy: 85.49, Test Loss: 0.7759495696425438, Test Accuracy: 74.64
Epoch: 10, Train Loss: 0.42460291712637754, Train Accuracy: 85.742, Test Loss: 0.632174845635891, Test Accuracy: 77.96
Epoch: 11, Train Loss: 0.41439244821858223, Train Accuracy: 86.286, Test Loss: 0.5128526484966278, Test Accuracy: 83.31
Epoch: 12, Train Loss: 0.4084495927976525, Train Accuracy: 86.436, Test Loss: 0.5466359147429466, Test Accuracy: 81.51
Epoch: 13, Train Loss: 0.3999522931283087, Train Accuracy: 87.12, Test Loss: 0.5734823727607727, Test Accuracy: 80.09
Epoch: 14, Train Loss: 0.4047979282982209, Train Accuracy: 86.828, Test Loss: 0.6113155248761177, Test Accuracy: 79.32
Epoch: 15, Train Loss: 0.39924932654251527, Train Accuracy: 86.88, Test Loss: 0.6590504360198974, Test Accuracy: 78.43
Epoch: 16, Train Loss: 0.3991161758256385, Train Accuracy: 87.014, Test Loss: 0.5008768999576568, Test Accuracy: 83.05
Epoch: 17, Train Loss: 0.3858997191080962, Train Accuracy: 87.506, Test Loss: 0.7535898330807685, Test Accuracy: 76.55
Epoch: 18, Train Loss: 0.3874022802885841, Train Accuracy: 87.504, Test Loss: 0.779237017929554, Test Accuracy: 74.4
Epoch: 19, Train Loss: 0.38473867699313347, Train Accuracy: 87.452, Test Loss: 0.44889347270131114, Test Accuracy: 85.02
Epoch: 20, Train Loss: 0.3741531008878327, Train Accuracy: 87.766, Test Loss: 0.6193254265189171, Test Accuracy: 78.48
Epoch: 21, Train Loss: 0.37023196996325425, Train Accuracy: 87.92, Test Loss: 0.5156257346272468, Test Accuracy: 82.74
Epoch: 22, Train Loss: 0.36888059070500573, Train Accuracy: 87.946, Test Loss: 0.5440410763025284, Test Accuracy: 81.8
Epoch: 23, Train Loss: 0.36480878762272007, Train Accuracy: 88.118, Test Loss: 0.531568623483181, Test Accuracy: 81.76
Epoch: 24, Train Loss: 0.35969047705688134, Train Accuracy: 88.364, Test Loss: 0.535256054699421, Test Accuracy: 82.37
Epoch: 25, Train Loss: 0.3569532096233514, Train Accuracy: 88.534, Test Loss: 0.8027421462535859, Test Accuracy: 73.67
Epoch: 26, Train Loss: 0.35372190707175016, Train Accuracy: 88.508, Test Loss: 0.6278661900758743, Test Accuracy: 79.8
Epoch: 27, Train Loss: 0.3536654837296137, Train Accuracy: 88.476, Test Loss: 0.4577791778743267, Test Accuracy: 84.74
Epoch: 28, Train Loss: 0.3486226764328949, Train Accuracy: 88.72, Test Loss: 0.5088219583034516, Test Accuracy: 82.7
Epoch: 29, Train Loss: 0.340967214359042, Train Accuracy: 89.094, Test Loss: 0.38082428485155106, Test Accuracy: 87.42
Epoch: 30, Train Loss: 0.33959252701695924, Train Accuracy: 88.862, Test Loss: 0.436379002481699, Test Accuracy: 85.42
Epoch: 31, Train Loss: 0.3390387805450298, Train Accuracy: 89.098, Test Loss: 0.48384754091501236, Test Accuracy: 84.33
Epoch: 32, Train Loss: 0.34159037165934475, Train Accuracy: 89.002, Test Loss: 0.6161829710006714, Test Accuracy: 79.36
Epoch: 33, Train Loss: 0.33984263298456624, Train Accuracy: 88.956, Test Loss: 0.4902458399534225, Test Accuracy: 83.76
Epoch: 34, Train Loss: 0.33592945524036427, Train Accuracy: 89.168, Test Loss: 0.4675657171010971, Test Accuracy: 84.39
Epoch: 35, Train Loss: 0.3292487280066971, Train Accuracy: 89.318, Test Loss: 0.5016799008846283, Test Accuracy: 83.38
Epoch: 36, Train Loss: 0.33177010131918866, Train Accuracy: 89.192, Test Loss: 0.5217553105950355, Test Accuracy: 82.68
Epoch: 37, Train Loss: 0.325305551481064, Train Accuracy: 89.592, Test Loss: 0.5164975401759148, Test Accuracy: 82.75
Epoch: 38, Train Loss: 0.32995193815597185, Train Accuracy: 89.252, Test Loss: 0.5273188254237176, Test Accuracy: 82.77
Epoch: 39, Train Loss: 0.3320834077227756, Train Accuracy: 89.22, Test Loss: 0.5320479008555412, Test Accuracy: 82.23
Epoch: 40, Train Loss: 0.32288899327940346, Train Accuracy: 89.484, Test Loss: 0.5226950864493847, Test Accuracy: 83.29
Epoch: 41, Train Loss: 0.32705240256493656, Train Accuracy: 89.382, Test Loss: 0.5063071435689926, Test Accuracy: 83.4
Epoch: 42, Train Loss: 0.32311191312644794, Train Accuracy: 89.48, Test Loss: 0.44942424148321153, Test Accuracy: 85.17
Epoch: 43, Train Loss: 0.32106956950081583, Train Accuracy: 89.586, Test Loss: 0.5424634858965873, Test Accuracy: 82.37
Epoch: 44, Train Loss: 0.32071957418985686, Train Accuracy: 89.614, Test Loss: 0.4585060805082321, Test Accuracy: 85.05
Epoch: 45, Train Loss: 0.32020270591959016, Train Accuracy: 89.728, Test Loss: 0.5860711616277695, Test Accuracy: 81.34
Epoch: 46, Train Loss: 0.3225697256491312, Train Accuracy: 89.702, Test Loss: 0.5341782358288765, Test Accuracy: 82.67
Epoch: 47, Train Loss: 0.32172883989865825, Train Accuracy: 89.766, Test Loss: 0.6243350267410278, Test Accuracy: 79.29
Epoch: 48, Train Loss: 0.32041093447934027, Train Accuracy: 89.734, Test Loss: 0.5165413507819175, Test Accuracy: 82.97
Epoch: 49, Train Loss: 0.31635476016175107, Train Accuracy: 89.758, Test Loss: 0.5831117552518844, Test Accuracy: 81.52
Epoch: 50, Train Loss: 0.3186345590121301, Train Accuracy: 89.684, Test Loss: 0.4313374292850494, Test Accuracy: 85.78
Epoch: 51, Train Loss: 0.32535180136980607, Train Accuracy: 89.48, Test Loss: 0.42673132807016373, Test Accuracy: 85.55
Epoch: 52, Train Loss: 0.3120432904995311, Train Accuracy: 89.946, Test Loss: 0.47552414864301684, Test Accuracy: 84.39
Epoch: 53, Train Loss: 0.3148244716169889, Train Accuracy: 89.896, Test Loss: 0.43347107589244843, Test Accuracy: 85.88
Epoch: 54, Train Loss: 0.3164839178628629, Train Accuracy: 89.726, Test Loss: 0.4155737707018852, Test Accuracy: 86.43
Epoch: 55, Train Loss: 0.32030644338301684, Train Accurafcy: 89.806, Test Loss: 0.5514776885509491, Test Accuracy: 82.05
