Epoch: 0, Train Loss: 1.9014164383149208, Train Accuracy: 29.668, Test Loss: 1.5306476628780366, Test Accuracy: 42.59
Epoch: 1, Train Loss: 1.4417007969468452, Train Accuracy: 47.336, Test Loss: 1.2732993614673616, Test Accuracy: 54.16
Epoch: 2, Train Loss: 1.1568289059202383, Train Accuracy: 58.902, Test Loss: 1.0500088834762573, Test Accuracy: 62.99
Epoch: 3, Train Loss: 0.9939769983596509, Train Accuracy: 65.05, Test Loss: 0.8786032736301422, Test Accuracy: 69.22
Epoch: 4, Train Loss: 0.8460395261454765, Train Accuracy: 70.398, Test Loss: 0.8595830327272416, Test Accuracy: 71.37
Epoch: 5, Train Loss: 0.7640927746472761, Train Accuracy: 73.588, Test Loss: 0.7302676180005073, Test Accuracy: 75.13
Epoch: 6, Train Loss: 0.7130033498834771, Train Accuracy: 75.16, Test Loss: 0.7714737859368325, Test Accuracy: 73.98
Epoch: 7, Train Loss: 0.6818319731356238, Train Accuracy: 76.644, Test Loss: 0.7921224695444107, Test Accuracy: 73.5
Epoch: 8, Train Loss: 0.6562373299732842, Train Accuracy: 77.422, Test Loss: 0.5902963182330132, Test Accuracy: 79.94
Epoch: 9, Train Loss: 0.6414148585723184, Train Accuracy: 77.942, Test Loss: 0.5998517414927482, Test Accuracy: 79.77
Epoch: 10, Train Loss: 0.4514337186618229, Train Accuracy: 84.816, Test Loss: 0.34401271522045135, Test Accuracy: 88.17
Epoch: 11, Train Loss: 0.39010170803350563, Train Accuracy: 86.792, Test Loss: 0.3191683356463909, Test Accuracy: 89.11
Epoch: 12, Train Loss: 0.36210227900606284, Train Accuracy: 87.702, Test Loss: 0.30639525175094606, Test Accuracy: 89.4
Epoch: 13, Train Loss: 0.34123529474753556, Train Accuracy: 88.538, Test Loss: 0.2986718734353781, Test Accuracy: 89.87
Epoch: 14, Train Loss: 0.3266699935316735, Train Accuracy: 89.07, Test Loss: 0.2844601781666279, Test Accuracy: 90.12
Epoch: 15, Train Loss: 0.308803854772197, Train Accuracy: 89.62, Test Loss: 0.28042213663458826, Test Accuracy: 90.33
Epoch: 16, Train Loss: 0.27888055065708695, Train Accuracy: 90.558, Test Loss: 0.251001542583108, Test Accuracy: 91.32
Epoch: 17, Train Loss: 0.2627432525843915, Train Accuracy: 91.382, Test Loss: 0.24696435511112214, Test Accuracy: 91.39
Epoch: 18, Train Loss: 0.25761910928103626, Train Accuracy: 91.464, Test Loss: 0.2453634312003851, Test Accuracy: 91.51
Epoch: 19, Train Loss: 0.2542107344588355, Train Accuracy: 91.482, Test Loss: 0.24353025861084462, Test Accuracy: 91.56
