Epoch: 0, Train Loss: 2.6280170676043575, Train Accuracy: 14.398, Test Loss: 2.0145453214645386, Test Accuracy: 24.7
Epoch: 1, Train Loss: 1.8244621954915468, Train Accuracy: 29.582, Test Loss: 1.6688408267498016, Test Accuracy: 34.42
Epoch: 2, Train Loss: 1.5720194602561424, Train Accuracy: 41.074, Test Loss: 1.578177353143692, Test Accuracy: 43.15
Epoch: 3, Train Loss: 1.3618312674715085, Train Accuracy: 49.868, Test Loss: 1.3785941541194915, Test Accuracy: 51.95
Epoch: 4, Train Loss: 1.1795297359566554, Train Accuracy: 57.286, Test Loss: 1.1141770190000535, Test Accuracy: 60.58
Epoch: 5, Train Loss: 1.0427550328966906, Train Accuracy: 62.486, Test Loss: 1.0093067634105681, Test Accuracy: 63.42
Epoch: 6, Train Loss: 0.9449380163646415, Train Accuracy: 66.404, Test Loss: 0.9545485383272171, Test Accuracy: 66.98
Epoch: 7, Train Loss: 0.874005793000731, Train Accuracy: 68.866, Test Loss: 0.9201202595233917, Test Accuracy: 67.78
Epoch: 8, Train Loss: 0.8196533101294047, Train Accuracy: 71.114, Test Loss: 0.9631044328212738, Test Accuracy: 65.71
Epoch: 9, Train Loss: 0.7595575511303094, Train Accuracy: 73.398, Test Loss: 0.8506743597984314, Test Accuracy: 70.24
Epoch: 10, Train Loss: 0.7049585265271804, Train Accuracy: 75.056, Test Loss: 0.7905867409706115, Test Accuracy: 72.77
Epoch: 11, Train Loss: 0.6616103658285897, Train Accuracy: 76.946, Test Loss: 0.7430364960432052, Test Accuracy: 73.72
Epoch: 12, Train Loss: 0.6282425902383711, Train Accuracy: 78.236, Test Loss: 0.621491741836071, Test Accuracy: 78.41
Epoch: 13, Train Loss: 0.6053870350046231, Train Accuracy: 79.022, Test Loss: 0.7326829385757446, Test Accuracy: 75.06
Epoch: 14, Train Loss: 0.5903583993692227, Train Accuracy: 79.692, Test Loss: 0.7112598067522049, Test Accuracy: 75.24
Epoch: 15, Train Loss: 0.5639630284760614, Train Accuracy: 80.444, Test Loss: 0.67224425137043, Test Accuracy: 77.57
Epoch: 16, Train Loss: 0.5554097293283019, Train Accuracy: 80.682, Test Loss: 0.6948073172569275, Test Accuracy: 75.97
Epoch: 17, Train Loss: 0.5463882451472075, Train Accuracy: 80.978, Test Loss: 0.799189395904541, Test Accuracy: 74.47
Epoch: 18, Train Loss: 0.5228936472512267, Train Accuracy: 81.906, Test Loss: 0.6338234311342239, Test Accuracy: 77.92
Epoch: 19, Train Loss: 0.5135959285451933, Train Accuracy: 82.31, Test Loss: 0.748319103717804, Test Accuracy: 76.17
