Epoch: 0, Train Loss: 2.3820029646539322, Train Accuracy: 20.206, Test Loss: 1.9153404605388642, Test Accuracy: 25.48
Epoch: 1, Train Loss: 1.768730875781125, Train Accuracy: 31.428, Test Loss: 1.6217558002471923, Test Accuracy: 38.29
Epoch: 2, Train Loss: 1.5159206213548666, Train Accuracy: 43.118, Test Loss: 1.397093139886856, Test Accuracy: 47.88
Epoch: 3, Train Loss: 1.2734661155649463, Train Accuracy: 53.462, Test Loss: 1.1103427064418794, Test Accuracy: 60.26
Epoch: 4, Train Loss: 1.0521177949807834, Train Accuracy: 62.31, Test Loss: 1.0199077916145325, Test Accuracy: 63.68
Epoch: 5, Train Loss: 0.9390125581065712, Train Accuracy: 66.622, Test Loss: 0.9821580165624618, Test Accuracy: 65.03
Epoch: 6, Train Loss: 0.8449406181759846, Train Accuracy: 70.012, Test Loss: 1.3365814077854157, Test Accuracy: 56.66
Epoch: 7, Train Loss: 0.7881241266989647, Train Accuracy: 71.948, Test Loss: 0.8131741750240326, Test Accuracy: 71.94
Epoch: 8, Train Loss: 0.7244162795031467, Train Accuracy: 74.64, Test Loss: 1.1307058501243592, Test Accuracy: 63.32
Epoch: 9, Train Loss: 0.6724589372534886, Train Accuracy: 76.644, Test Loss: 1.0781611448526383, Test Accuracy: 66.93
Epoch: 10, Train Loss: 0.6238907857624161, Train Accuracy: 78.318, Test Loss: 0.8804579401016235, Test Accuracy: 71.2
Epoch: 11, Train Loss: 0.5937652573408678, Train Accuracy: 79.362, Test Loss: 0.9465977662801742, Test Accuracy: 68.83
Epoch: 12, Train Loss: 0.5660488375312532, Train Accuracy: 80.482, Test Loss: 0.7752178001403809, Test Accuracy: 75.03
Epoch: 13, Train Loss: 0.5483236031611557, Train Accuracy: 80.99, Test Loss: 0.7412617340683937, Test Accuracy: 75.55
Epoch: 14, Train Loss: 0.525591596922911, Train Accuracy: 81.794, Test Loss: 0.8479646205902099, Test Accuracy: 73.57
Epoch: 15, Train Loss: 0.5054714152270265, Train Accuracy: 82.45, Test Loss: 0.7535659915208817, Test Accuracy: 74.39
Epoch: 16, Train Loss: 0.4991270621566821, Train Accuracy: 82.964, Test Loss: 0.7970163092017174, Test Accuracy: 73.67
Epoch: 17, Train Loss: 0.48402646618426, Train Accuracy: 83.326, Test Loss: 0.7731394332647323, Test Accuracy: 75.66
Epoch: 18, Train Loss: 0.47586442808361007, Train Accuracy: 83.62, Test Loss: 1.0419459545612335, Test Accuracy: 67.82
Epoch: 19, Train Loss: 0.4661264799135115, Train Accuracy: 84.05, Test Loss: 0.6361174875497818, Test Accuracy: 79.17
