Epoch: 0, Train Loss: 2.0975881875777733, Train Accuracy: 21.94, Test Loss: 1.9349581456184388, Test Accuracy: 31.22
Epoch: 1, Train Loss: 1.692042664605744, Train Accuracy: 35.924, Test Loss: 1.64182701587677, Test Accuracy: 43.03
Epoch: 2, Train Loss: 1.431404936070345, Train Accuracy: 46.876, Test Loss: 1.3443008327484132, Test Accuracy: 53.49
Epoch: 3, Train Loss: 1.234823854602113, Train Accuracy: 55.172, Test Loss: 1.2387592667341232, Test Accuracy: 55.91
Epoch: 4, Train Loss: 1.0725470288675658, Train Accuracy: 61.798, Test Loss: 1.0838272953033448, Test Accuracy: 64.23
Epoch: 5, Train Loss: 0.9532569719820606, Train Accuracy: 66.238, Test Loss: 0.9836953669786453, Test Accuracy: 66.76
Epoch: 6, Train Loss: 0.8637273798183519, Train Accuracy: 69.638, Test Loss: 0.8121660029888154, Test Accuracy: 72.41
Epoch: 7, Train Loss: 0.782435838665281, Train Accuracy: 72.404, Test Loss: 0.6522116902470588, Test Accuracy: 77.61
Epoch: 8, Train Loss: 0.7259721184263423, Train Accuracy: 74.702, Test Loss: 0.7529785692691803, Test Accuracy: 75.38
Epoch: 9, Train Loss: 0.6696534789338404, Train Accuracy: 76.796, Test Loss: 0.6646556428074837, Test Accuracy: 78.61
Epoch: 10, Train Loss: 0.632046921520817, Train Accuracy: 77.948, Test Loss: 0.6386718022823333, Test Accuracy: 77.9
Epoch: 11, Train Loss: 0.5897125060461006, Train Accuracy: 79.424, Test Loss: 0.7507573962211609, Test Accuracy: 76.35
Epoch: 12, Train Loss: 0.5565784713443445, Train Accuracy: 80.472, Test Loss: 0.5473609402775764, Test Accuracy: 81.3
Epoch: 13, Train Loss: 0.534023859671184, Train Accuracy: 81.61, Test Loss: 0.543231617808342, Test Accuracy: 82.7
Epoch: 14, Train Loss: 0.5101824314618597, Train Accuracy: 82.27, Test Loss: 0.43415681660175326, Test Accuracy: 85.24
Epoch: 15, Train Loss: 0.4800843316681531, Train Accuracy: 83.338, Test Loss: 0.6061321446299552, Test Accuracy: 85.27
Epoch: 16, Train Loss: 0.4703261171068464, Train Accuracy: 83.596, Test Loss: 0.40785386264324186, Test Accuracy: 86.53
Epoch: 17, Train Loss: 0.4471910039381105, Train Accuracy: 84.538, Test Loss: 0.615703577697277, Test Accuracy: 81.21
Epoch: 18, Train Loss: 0.4301610747162177, Train Accuracy: 85.154, Test Loss: 0.48044646486639975, Test Accuracy: 83.71
Epoch: 19, Train Loss: 0.41301344122205463, Train Accuracy: 85.88, Test Loss: 0.4462511107325554, Test Accuracy: 86.14
Epoch: 20, Train Loss: 0.404925385299994, Train Accuracy: 85.826, Test Loss: 0.503732390999794, Test Accuracy: 84.76
Epoch: 21, Train Loss: 0.39318047038146425, Train Accuracy: 86.32, Test Loss: 0.4715423442423344, Test Accuracy: 84.92
Epoch: 22, Train Loss: 0.3722606994667832, Train Accuracy: 87.142, Test Loss: 0.41553664475679397, Test Accuracy: 86.54
Epoch: 23, Train Loss: 0.3658449017271704, Train Accuracy: 87.356, Test Loss: 0.4116958309710026, Test Accuracy: 86.48
Epoch: 24, Train Loss: 0.35134573949843034, Train Accuracy: 87.696, Test Loss: 0.3719730295240879, Test Accuracy: 87.55
