Epoch: 0, Train Loss: 1.494548488151082, Train Accuracy: 44.548, Test Loss: 1.4955276489257812, Test Accuracy: 51.83
Epoch: 1, Train Loss: 1.0086884213530498, Train Accuracy: 63.71, Test Loss: 0.9456411927938462, Test Accuracy: 67.06
Epoch: 2, Train Loss: 0.7901570928066283, Train Accuracy: 71.996, Test Loss: 0.8782911199331284, Test Accuracy: 69.7
Epoch: 3, Train Loss: 0.6491598781112515, Train Accuracy: 77.324, Test Loss: 0.6620599421858787, Test Accuracy: 77.08
Epoch: 4, Train Loss: 0.5679541308709117, Train Accuracy: 80.288, Test Loss: 0.6106880483031273, Test Accuracy: 79.04
Epoch: 5, Train Loss: 0.5039020551897376, Train Accuracy: 82.592, Test Loss: 0.5900557273626328, Test Accuracy: 80.47
Epoch: 6, Train Loss: 0.45753813350139677, Train Accuracy: 84.118, Test Loss: 0.5984165585041046, Test Accuracy: 80.05
Epoch: 7, Train Loss: 0.41413268671773584, Train Accuracy: 85.736, Test Loss: 0.4928091385960579, Test Accuracy: 83.47
Epoch: 8, Train Loss: 0.3815099250172715, Train Accuracy: 86.9, Test Loss: 0.6699438841640949, Test Accuracy: 79.79
Epoch: 9, Train Loss: 0.34801294881364575, Train Accuracy: 87.834, Test Loss: 0.43386465311050415, Test Accuracy: 85.73
Epoch: 10, Train Loss: 0.3271804992347727, Train Accuracy: 88.654, Test Loss: 0.4264122554659843, Test Accuracy: 85.65
Epoch: 11, Train Loss: 0.30527693338101475, Train Accuracy: 89.304, Test Loss: 0.5183563326299191, Test Accuracy: 83.07
Epoch: 12, Train Loss: 0.28891691247291884, Train Accuracy: 89.89, Test Loss: 0.4175339615345001, Test Accuracy: 85.69
Epoch: 13, Train Loss: 0.2695428242387674, Train Accuracy: 90.526, Test Loss: 0.4477501881122589, Test Accuracy: 84.99
Epoch: 14, Train Loss: 0.25084471841678596, Train Accuracy: 91.324, Test Loss: 0.429618463665247, Test Accuracy: 86.31
Epoch: 15, Train Loss: 0.23536205836726576, Train Accuracy: 91.752, Test Loss: 0.3986498735845089, Test Accuracy: 87.17
Epoch: 16, Train Loss: 0.2260529333368287, Train Accuracy: 92.188, Test Loss: 0.4950839599967003, Test Accuracy: 85.61
Epoch: 17, Train Loss: 0.21361895660152824, Train Accuracy: 92.51, Test Loss: 0.4422285880148411, Test Accuracy: 86.34
Epoch: 18, Train Loss: 0.19924381483927409, Train Accuracy: 93.036, Test Loss: 0.48432585000991824, Test Accuracy: 86.2
Epoch: 19, Train Loss: 0.1888836811646781, Train Accuracy: 93.3, Test Loss: 0.4337303334474564, Test Accuracy: 86.52
