Epoch: 0, Train Loss: 1.6941456620955406, Train Accuracy: 36.684, Test Loss: 1.4137995886802672, Test Accuracy: 48.62
Epoch: 1, Train Loss: 1.198052036030518, Train Accuracy: 56.558, Test Loss: 1.2320067030191422, Test Accuracy: 56.8
Epoch: 2, Train Loss: 0.9418915150415562, Train Accuracy: 66.762, Test Loss: 0.9155277365446091, Test Accuracy: 68.14
Epoch: 3, Train Loss: 0.765730685666394, Train Accuracy: 73.364, Test Loss: 0.885793902873993, Test Accuracy: 70.17
Epoch: 4, Train Loss: 0.6628677877013945, Train Accuracy: 77.012, Test Loss: 0.7190286046266556, Test Accuracy: 76.08
Epoch: 5, Train Loss: 0.5916528724648459, Train Accuracy: 79.59, Test Loss: 0.8230013781785965, Test Accuracy: 71.44
Epoch: 6, Train Loss: 0.5445572621072344, Train Accuracy: 81.298, Test Loss: 0.9506662040948868, Test Accuracy: 70.16
Epoch: 7, Train Loss: 0.5178411334676816, Train Accuracy: 82.32, Test Loss: 0.612766852080822, Test Accuracy: 79.7
Epoch: 8, Train Loss: 0.4940871100901338, Train Accuracy: 83.222, Test Loss: 0.558724160194397, Test Accuracy: 80.61
Epoch: 9, Train Loss: 0.46415735876468744, Train Accuracy: 84.264, Test Loss: 0.5957937231659889, Test Accuracy: 78.98
Epoch: 10, Train Loss: 0.4567460664321699, Train Accuracy: 84.52, Test Loss: 0.5282403203845024, Test Accuracy: 82.1
Epoch: 11, Train Loss: 0.4337606876326339, Train Accuracy: 85.188, Test Loss: 0.6397276920080185, Test Accuracy: 79.72
Epoch: 12, Train Loss: 0.428245279147192, Train Accuracy: 85.282, Test Loss: 0.6710231128334999, Test Accuracy: 78.08
Epoch: 13, Train Loss: 0.4121339293696996, Train Accuracy: 85.81, Test Loss: 0.575478249490261, Test Accuracy: 81.57
Epoch: 14, Train Loss: 0.39908353538464403, Train Accuracy: 86.446, Test Loss: 0.5151741522550582, Test Accuracy: 82.95
Epoch: 15, Train Loss: 0.3871339479142138, Train Accuracy: 86.71, Test Loss: 0.5477237156033516, Test Accuracy: 82.08
Epoch: 16, Train Loss: 0.3822373854915809, Train Accuracy: 86.806, Test Loss: 0.5582938003540039, Test Accuracy: 81.25
Epoch: 17, Train Loss: 0.37299510261134416, Train Accuracy: 87.404, Test Loss: 0.5698788318037987, Test Accuracy: 81.66
Epoch: 18, Train Loss: 0.3660744149285509, Train Accuracy: 87.498, Test Loss: 0.485287771821022, Test Accuracy: 84.38
Epoch: 19, Train Loss: 0.36066488662491675, Train Accuracy: 87.572, Test Loss: 0.535376892387867, Test Accuracy: 82.54
