Epoch: 0, Train Loss: 1.899148324314429, Train Accuracy: 28.718, Test Loss: 1.6421947431564332, Test Accuracy: 39.6
Epoch: 1, Train Loss: 1.5039663387804616, Train Accuracy: 44.74, Test Loss: 1.5228809666633607, Test Accuracy: 47.33
Epoch: 2, Train Loss: 1.2479557638265648, Train Accuracy: 54.97, Test Loss: 1.2258862417936325, Test Accuracy: 57.05
Epoch: 3, Train Loss: 1.0749707805867097, Train Accuracy: 61.682, Test Loss: 1.0163263309001922, Test Accuracy: 64.86
Epoch: 4, Train Loss: 0.9599911424578452, Train Accuracy: 65.974, Test Loss: 0.9582769411802292, Test Accuracy: 67.78
Epoch: 5, Train Loss: 0.8456187692223763, Train Accuracy: 70.376, Test Loss: 0.84075607329607, Test Accuracy: 71.55
Epoch: 6, Train Loss: 0.7692365202368522, Train Accuracy: 73.052, Test Loss: 0.7331904274225235, Test Accuracy: 74.63
Epoch: 7, Train Loss: 0.705928232596845, Train Accuracy: 75.396, Test Loss: 0.7885228502750397, Test Accuracy: 74.41
Epoch: 8, Train Loss: 0.6646840596685604, Train Accuracy: 76.594, Test Loss: 0.6912118956446648, Test Accuracy: 77.33
Epoch: 9, Train Loss: 0.6261709411533511, Train Accuracy: 78.076, Test Loss: 0.5993180519342423, Test Accuracy: 79.85
Epoch: 10, Train Loss: 0.5941406591814391, Train Accuracy: 79.342, Test Loss: 0.6203893673419952, Test Accuracy: 79.36
Epoch: 11, Train Loss: 0.5545743065220969, Train Accuracy: 80.69, Test Loss: 0.5761132347583771, Test Accuracy: 80.94
Epoch: 12, Train Loss: 0.5294761213721061, Train Accuracy: 81.618, Test Loss: 0.6330788710713386, Test Accuracy: 79.6
Epoch: 13, Train Loss: 0.5075872078233835, Train Accuracy: 82.2, Test Loss: 0.5541445660591126, Test Accuracy: 81.63
Epoch: 14, Train Loss: 0.48424981990639043, Train Accuracy: 83.28, Test Loss: 0.5854186379909515, Test Accuracy: 80.87
