Epoch: 0, Train Loss: 1.7464986236727968, Train Accuracy: 34.708, Test Loss: 1.4061054372787476, Test Accuracy: 48.15
Epoch: 1, Train Loss: 1.2407747932842799, Train Accuracy: 54.572, Test Loss: 1.2494544637203218, Test Accuracy: 56.26
Epoch: 2, Train Loss: 0.9787833587247499, Train Accuracy: 64.902, Test Loss: 1.161721144914627, Test Accuracy: 60.38
Epoch: 3, Train Loss: 0.7926094787461417, Train Accuracy: 71.852, Test Loss: 0.9644523483514785, Test Accuracy: 66.61
Epoch: 4, Train Loss: 0.6845370640560072, Train Accuracy: 76.026, Test Loss: 0.92311339199543, Test Accuracy: 69.18
Epoch: 5, Train Loss: 0.6007630694277433, Train Accuracy: 79.12, Test Loss: 0.9255427891016006, Test Accuracy: 71.11
Epoch: 6, Train Loss: 0.5245074827452095, Train Accuracy: 81.802, Test Loss: 0.6830566930770874, Test Accuracy: 76.64
Epoch: 7, Train Loss: 0.4769710560842436, Train Accuracy: 83.434, Test Loss: 0.6524361994862556, Test Accuracy: 78.24
Epoch: 8, Train Loss: 0.4382792401070498, Train Accuracy: 84.882, Test Loss: 0.7715316972136498, Test Accuracy: 74.7
Epoch: 9, Train Loss: 0.404097601163144, Train Accuracy: 86.144, Test Loss: 0.5674973599612713, Test Accuracy: 81.43
Epoch: 10, Train Loss: 0.3740691238520097, Train Accuracy: 87.184, Test Loss: 0.6202299121022224, Test Accuracy: 79.88
Epoch: 11, Train Loss: 0.3502227183507413, Train Accuracy: 88.2, Test Loss: 0.616175731420517, Test Accuracy: 79.8
Epoch: 12, Train Loss: 0.3338301169629, Train Accuracy: 88.468, Test Loss: 0.908407598733902, Test Accuracy: 72.43
Epoch: 13, Train Loss: 0.31762688880672263, Train Accuracy: 89.044, Test Loss: 0.5449009519815445, Test Accuracy: 82.18
Epoch: 14, Train Loss: 0.295303221411851, Train Accuracy: 90.0, Test Loss: 0.7560032349824906, Test Accuracy: 77.69
Epoch: 15, Train Loss: 0.2917850195449226, Train Accuracy: 90.018, Test Loss: 0.6326409596204757, Test Accuracy: 79.97
Epoch: 16, Train Loss: 0.26879583086286274, Train Accuracy: 90.874, Test Loss: 0.5116340708732605, Test Accuracy: 83.36
Epoch: 17, Train Loss: 0.25809817487487985, Train Accuracy: 91.304, Test Loss: 0.41655622348189353, Test Accuracy: 85.83
Epoch: 18, Train Loss: 0.24763446483685045, Train Accuracy: 91.516, Test Loss: 0.4969592012465, Test Accuracy: 84.31
Epoch: 19, Train Loss: 0.24239679958139146, Train Accuracy: 91.792, Test Loss: 0.4525577150285244, Test Accuracy: 85.32
Epoch: 20, Train Loss: 0.23396518400737218, Train Accuracy: 92.098, Test Loss: 0.4673198112845421, Test Accuracy: 84.73
Epoch: 21, Train Loss: 0.23035003047208397, Train Accuracy: 92.194, Test Loss: 0.4068938902020454, Test Accuracy: 87.19
Epoch: 22, Train Loss: 0.21880054321824288, Train Accuracy: 92.764, Test Loss: 0.41756739139556887, Test Accuracy: 87.0
Epoch: 23, Train Loss: 0.2134347013673004, Train Accuracy: 92.942, Test Loss: 0.44579453110694883, Test Accuracy: 85.5
Epoch: 24, Train Loss: 0.20624049327203206, Train Accuracy: 93.046, Test Loss: 0.5426092058420181, Test Accuracy: 83.04
Epoch: 25, Train Loss: 0.20340261699593798, Train Accuracy: 93.108, Test Loss: 0.4693365091085434, Test Accuracy: 85.16
Epoch: 26, Train Loss: 0.20085932968222364, Train Accuracy: 93.224, Test Loss: 0.6001478689908981, Test Accuracy: 82.05
Epoch: 27, Train Loss: 0.18726891157578449, Train Accuracy: 93.698, Test Loss: 0.5617596942186356, Test Accuracy: 82.71
Epoch: 28, Train Loss: 0.1849474040981458, Train Accuracy: 93.918, Test Loss: 0.4801579870283604, Test Accuracy: 85.0
Epoch: 29, Train Loss: 0.1800375865886406, Train Accuracy: 94.032, Test Loss: 0.37828470215201376, Test Accuracy: 87.94
Epoch: 30, Train Loss: 0.1802912038960019, Train Accuracy: 94.062, Test Loss: 0.6607477587461471, Test Accuracy: 80.52
Epoch: 31, Train Loss: 0.17564841382661645, Train Accuracy: 94.1, Test Loss: 0.4622862284630537, Test Accuracy: 85.59
Epoch: 32, Train Loss: 0.175615200658842, Train Accuracy: 94.136, Test Loss: 0.4213628740608692, Test Accuracy: 86.97
Epoch: 33, Train Loss: 0.09799370253268554, Train Accuracy: 97.164, Test Loss: 0.22680337309837342, Test Accuracy: 92.61
Epoch: 34, Train Loss: 0.06678286308840829, Train Accuracy: 98.278, Test Loss: 0.221326654702425, Test Accuracy: 92.92
Epoch: 35, Train Loss: 0.056572027998615285, Train Accuracy: 98.582, Test Loss: 0.21235142596065998, Test Accuracy: 93.16
Epoch: 36, Train Loss: 0.04929445071944168, Train Accuracy: 98.848, Test Loss: 0.21519951976835727, Test Accuracy: 93.07
Epoch: 37, Train Loss: 0.0440234793920298, Train Accuracy: 98.99, Test Loss: 0.215567789003253, Test Accuracy: 93.17
Epoch: 38, Train Loss: 0.040224231152358104, Train Accuracy: 99.092, Test Loss: 0.21300153188407422, Test Accuracy: 93.26
Epoch: 39, Train Loss: 0.03590837989610677, Train Accuracy: 99.268, Test Loss: 0.2122999034821987, Test Accuracy: 93.32
Epoch: 40, Train Loss: 0.03359105411384787, Train Accuracy: 99.308, Test Loss: 0.21507606483995914, Test Accuracy: 93.4
Epoch: 41, Train Loss: 0.030527851791406165, Train Accuracy: 99.438, Test Loss: 0.21682691738009452, Test Accuracy: 93.47
Epoch: 42, Train Loss: 0.02907659184681822, Train Accuracy: 99.44, Test Loss: 0.21536531947553159, Test Accuracy: 93.6
Epoch: 43, Train Loss: 0.026926848419694876, Train Accuracy: 99.512, Test Loss: 0.21855680391192436, Test Accuracy: 93.61
Epoch: 44, Train Loss: 0.02555114574426291, Train Accuracy: 99.552, Test Loss: 0.21771912425756454, Test Accuracy: 93.64
Epoch: 45, Train Loss: 0.023791767514253756, Train Accuracy: 99.636, Test Loss: 0.21860386811196805, Test Accuracy: 93.57
Epoch: 46, Train Loss: 0.022334288035956572, Train Accuracy: 99.644, Test Loss: 0.21729057021439074, Test Accuracy: 93.6
Epoch: 47, Train Loss: 0.022125345977897545, Train Accuracy: 99.658, Test Loss: 0.2163136449456215, Test Accuracy: 93.73
Epoch: 48, Train Loss: 0.02134989819736505, Train Accuracy: 99.672, Test Loss: 0.21633213333785534, Test Accuracy: 93.67
Epoch: 49, Train Loss: 0.020206247570411284, Train Accuracy: 99.726, Test Loss: 0.21707935199141504, Test Accuracy: 93.73
Epoch: 50, Train Loss: 0.02084264757909945, Train Accuracy: 99.702, Test Loss: 0.21579333677887916, Test Accuracy: 93.72
Epoch: 51, Train Loss: 0.01979061664671314, Train Accuracy: 99.758, Test Loss: 0.21530248150229453, Test Accuracy: 93.74
Epoch: 52, Train Loss: 0.020741313182729846, Train Accuracy: 99.704, Test Loss: 0.21542726881802082, Test Accuracy: 93.74
Epoch: 53, Train Loss: 0.019707610288977016, Train Accuracy: 99.726, Test Loss: 0.21643561467528344, Test Accuracy: 93.75
Epoch: 54, Train Loss: 0.01967662278258679, Train Accuracy: 99.742, Test Loss: 0.2175080806016922, Test Accuracy: 93.67
Epoch: 55, Train Loss: 0.018767558465882832, Train Accuracy: 99.796, Test Loss: 0.21681205742061138, Test Accuracy: 93.75
Epoch: 56, Train Loss: 0.019762427707639883, Train Accuracy: 99.734, Test Loss: 0.2156229554861784, Test Accuracy: 93.8
Epoch: 57, Train Loss: 0.01891858999294286, Train Accuracy: 99.77, Test Loss: 0.21652154706418514, Test Accuracy: 93.74
Epoch: 58, Train Loss: 0.018983539859099046, Train Accuracy: 99.74, Test Loss: 0.21742686830461025, Test Accuracy: 93.71
