Epoch: 0, Train Loss: 1.7480545773798106, Train Accuracy: 34.878, Test Loss: 1.429832056760788, Test Accuracy: 47.22
Epoch: 1, Train Loss: 1.2412874504011504, Train Accuracy: 54.638, Test Loss: 1.2397360634803771, Test Accuracy: 55.79
Epoch: 2, Train Loss: 0.9917210772329447, Train Accuracy: 64.584, Test Loss: 1.0192001110315323, Test Accuracy: 63.52
Epoch: 3, Train Loss: 0.8070920310458358, Train Accuracy: 71.538, Test Loss: 1.0308627849817276, Test Accuracy: 65.24
Epoch: 4, Train Loss: 0.6893602335939601, Train Accuracy: 75.982, Test Loss: 0.7895138946175575, Test Accuracy: 72.65
Epoch: 5, Train Loss: 0.6025316377683562, Train Accuracy: 79.062, Test Loss: 0.6281075578927994, Test Accuracy: 77.72
Epoch: 6, Train Loss: 0.5278270974451181, Train Accuracy: 81.684, Test Loss: 0.776424013376236, Test Accuracy: 75.4
Epoch: 7, Train Loss: 0.48537346599053366, Train Accuracy: 83.254, Test Loss: 0.7355225685238839, Test Accuracy: 76.43
Epoch: 8, Train Loss: 0.44143070615067775, Train Accuracy: 84.874, Test Loss: 0.7142332378029823, Test Accuracy: 76.81
Epoch: 9, Train Loss: 0.4055866571713467, Train Accuracy: 86.196, Test Loss: 0.5768643239140511, Test Accuracy: 81.44
Epoch: 10, Train Loss: 0.37915499052222895, Train Accuracy: 87.058, Test Loss: 0.7503435754776001, Test Accuracy: 76.75
Epoch: 11, Train Loss: 0.3527548671985159, Train Accuracy: 87.858, Test Loss: 0.6757907724380493, Test Accuracy: 77.83
Epoch: 12, Train Loss: 0.33522347771391575, Train Accuracy: 88.53, Test Loss: 0.4627669262886047, Test Accuracy: 84.63
Epoch: 13, Train Loss: 0.31179813052318534, Train Accuracy: 89.268, Test Loss: 0.6073614898324012, Test Accuracy: 80.53
Epoch: 14, Train Loss: 0.29805557308148367, Train Accuracy: 89.824, Test Loss: 0.5135314010083676, Test Accuracy: 83.39
Epoch: 15, Train Loss: 0.2879412475289131, Train Accuracy: 90.222, Test Loss: 0.48713446319103243, Test Accuracy: 83.95
Epoch: 16, Train Loss: 0.27324930563264965, Train Accuracy: 90.684, Test Loss: 0.4650502024590969, Test Accuracy: 84.82
Epoch: 17, Train Loss: 0.25942038911945964, Train Accuracy: 91.138, Test Loss: 0.4992981633543968, Test Accuracy: 84.06
Epoch: 18, Train Loss: 0.2549673037565484, Train Accuracy: 91.286, Test Loss: 0.582102900147438, Test Accuracy: 81.03
Epoch: 19, Train Loss: 0.24180732941140934, Train Accuracy: 91.756, Test Loss: 0.6077042046189308, Test Accuracy: 81.58
Epoch: 20, Train Loss: 0.23195356313063173, Train Accuracy: 92.232, Test Loss: 0.5338779684901237, Test Accuracy: 83.0
Epoch: 21, Train Loss: 0.22560349015557035, Train Accuracy: 92.358, Test Loss: 0.5321654176712036, Test Accuracy: 83.21
Epoch: 22, Train Loss: 0.22479959592527274, Train Accuracy: 92.434, Test Loss: 0.44213502287864687, Test Accuracy: 86.14
