Epoch: 0, Train Loss: 1.4332165074775287, Train Accuracy: 47.036, Test Loss: 1.2576455301046372, Test Accuracy: 56.57
Epoch: 1, Train Loss: 0.9257456442279279, Train Accuracy: 67.108, Test Loss: 1.4297152346372604, Test Accuracy: 59.98
Epoch: 2, Train Loss: 0.6992360598138531, Train Accuracy: 75.764, Test Loss: 0.8592517685890197, Test Accuracy: 72.6
Epoch: 3, Train Loss: 0.5856954723672794, Train Accuracy: 79.776, Test Loss: 0.6460303038358688, Test Accuracy: 77.58
Epoch: 4, Train Loss: 0.5032503238266997, Train Accuracy: 82.782, Test Loss: 0.6385060179233552, Test Accuracy: 79.07
Epoch: 5, Train Loss: 0.45141481026968994, Train Accuracy: 84.476, Test Loss: 0.5248818781971931, Test Accuracy: 82.84
Epoch: 6, Train Loss: 0.4078228554076246, Train Accuracy: 85.976, Test Loss: 0.4910831582546234, Test Accuracy: 83.67
Epoch: 7, Train Loss: 0.36633115808677186, Train Accuracy: 87.522, Test Loss: 0.5290518653392792, Test Accuracy: 83.05
Epoch: 8, Train Loss: 0.33955005264800525, Train Accuracy: 88.248, Test Loss: 0.43718324199318886, Test Accuracy: 85.52
Epoch: 9, Train Loss: 0.31481029321927856, Train Accuracy: 89.148, Test Loss: 0.4581888580322266, Test Accuracy: 84.67
Epoch: 10, Train Loss: 0.2896817470984081, Train Accuracy: 90.082, Test Loss: 0.4019892929494381, Test Accuracy: 86.64
Epoch: 11, Train Loss: 0.2749754990572515, Train Accuracy: 90.546, Test Loss: 0.45827928781509397, Test Accuracy: 85.39
Epoch: 12, Train Loss: 0.2547664010082669, Train Accuracy: 91.236, Test Loss: 0.46250939324498175, Test Accuracy: 86.12
Epoch: 13, Train Loss: 0.23691042463111756, Train Accuracy: 91.786, Test Loss: 0.398706915974617, Test Accuracy: 87.64
Epoch: 14, Train Loss: 0.2265280385875641, Train Accuracy: 91.996, Test Loss: 0.38831295028328894, Test Accuracy: 88.12
Epoch: 15, Train Loss: 0.20411383648357734, Train Accuracy: 92.728, Test Loss: 0.3786987414956093, Test Accuracy: 88.25
Epoch: 16, Train Loss: 0.201688277618507, Train Accuracy: 93.044, Test Loss: 0.3482458651065826, Test Accuracy: 88.8
Epoch: 17, Train Loss: 0.1885181091192281, Train Accuracy: 93.39, Test Loss: 0.4011952131986618, Test Accuracy: 88.09
Epoch: 18, Train Loss: 0.17673818696566554, Train Accuracy: 93.89, Test Loss: 0.39434981435537336, Test Accuracy: 87.75
Epoch: 19, Train Loss: 0.1712748149738592, Train Accuracy: 94.05, Test Loss: 0.37960449665784834, Test Accuracy: 88.53
