Epoch: 0, Train Loss: 2.918383765403572, Train Accuracy: 26.058, Test Loss: 1.7301001524925232, Test Accuracy: 33.63
Epoch: 1, Train Loss: 1.6158661131968584, Train Accuracy: 39.224, Test Loss: 1.9591948211193084, Test Accuracy: 31.36
Epoch: 2, Train Loss: 1.4065267872017668, Train Accuracy: 48.656, Test Loss: 1.4744262313842773, Test Accuracy: 47.17
Epoch: 3, Train Loss: 1.2233441865352719, Train Accuracy: 56.394, Test Loss: 1.1765961694717406, Test Accuracy: 58.24
Epoch: 4, Train Loss: 1.0759576703886242, Train Accuracy: 62.056, Test Loss: 1.3758040374517442, Test Accuracy: 55.0
Epoch: 5, Train Loss: 0.9737555928852247, Train Accuracy: 65.488, Test Loss: 0.9769553327560425, Test Accuracy: 65.1
Epoch: 6, Train Loss: 0.8722385253442828, Train Accuracy: 69.19, Test Loss: 1.3805775272846221, Test Accuracy: 55.46
Epoch: 7, Train Loss: 0.7994629446502841, Train Accuracy: 72.274, Test Loss: 1.0795158761739732, Test Accuracy: 64.47
Epoch: 8, Train Loss: 0.7498721742569028, Train Accuracy: 74.082, Test Loss: 1.175587550997734, Test Accuracy: 60.53
Epoch: 9, Train Loss: 0.7103708251510434, Train Accuracy: 75.508, Test Loss: 0.8195874500274658, Test Accuracy: 71.94
Epoch: 10, Train Loss: 0.6907617385734988, Train Accuracy: 76.16, Test Loss: 0.9586640805006027, Test Accuracy: 68.28
Epoch: 11, Train Loss: 0.6676923141759985, Train Accuracy: 76.772, Test Loss: 0.9841424578428268, Test Accuracy: 68.48
Epoch: 12, Train Loss: 0.6543446935503684, Train Accuracy: 77.438, Test Loss: 0.7708648031949997, Test Accuracy: 73.61
Epoch: 13, Train Loss: 0.638247961507124, Train Accuracy: 77.886, Test Loss: 1.007953671813011, Test Accuracy: 66.44
Epoch: 14, Train Loss: 0.6327545238882685, Train Accuracy: 78.112, Test Loss: 0.8437234073877334, Test Accuracy: 72.01
Epoch: 15, Train Loss: 0.6155582698409819, Train Accuracy: 78.806, Test Loss: 1.1260944718122483, Test Accuracy: 64.76
Epoch: 16, Train Loss: 0.6033336258757754, Train Accuracy: 79.124, Test Loss: 0.7507882100343705, Test Accuracy: 74.32
Epoch: 17, Train Loss: 0.5976884234744264, Train Accuracy: 79.47, Test Loss: 0.7299097096920013, Test Accuracy: 75.41
Epoch: 18, Train Loss: 0.5891429890909463, Train Accuracy: 79.624, Test Loss: 0.6569603770971298, Test Accuracy: 77.3
Epoch: 19, Train Loss: 0.5782288416572239, Train Accuracy: 80.152, Test Loss: 0.9825748747587204, Test Accuracy: 68.62
