Epoch: 0, Train Loss: 1.719097842645767, Train Accuracy: 36.83, Test Loss: 1.4343793892860413, Test Accuracy: 47.93
Epoch: 1, Train Loss: 1.2428084973179165, Train Accuracy: 55.226, Test Loss: 1.1085116177797318, Test Accuracy: 60.71
Epoch: 2, Train Loss: 0.9822996897465738, Train Accuracy: 65.372, Test Loss: 0.9350896406173707, Test Accuracy: 67.99
Epoch: 3, Train Loss: 0.8108561610626748, Train Accuracy: 71.788, Test Loss: 0.8598741787672043, Test Accuracy: 70.73
Epoch: 4, Train Loss: 0.7173983168876384, Train Accuracy: 75.116, Test Loss: 0.9074283987283707, Test Accuracy: 69.25
Epoch: 5, Train Loss: 0.6644301836752831, Train Accuracy: 76.918, Test Loss: 0.8236659109592438, Test Accuracy: 71.72
Epoch: 6, Train Loss: 0.6364553448794138, Train Accuracy: 78.0, Test Loss: 0.8237860125303268, Test Accuracy: 71.94
Epoch: 7, Train Loss: 0.6070934192603811, Train Accuracy: 79.094, Test Loss: 0.6714386588335037, Test Accuracy: 77.19
Epoch: 8, Train Loss: 0.5957371710663866, Train Accuracy: 79.466, Test Loss: 0.6419057613611221, Test Accuracy: 78.17
Epoch: 9, Train Loss: 0.5891607442627782, Train Accuracy: 79.758, Test Loss: 0.6931754273176193, Test Accuracy: 76.57
Epoch: 10, Train Loss: 0.581141830024207, Train Accuracy: 79.954, Test Loss: 0.8253128069639206, Test Accuracy: 72.49
Epoch: 11, Train Loss: 0.5871180261644866, Train Accuracy: 79.598, Test Loss: 0.695351651608944, Test Accuracy: 77.05
Epoch: 12, Train Loss: 0.5694256468349711, Train Accuracy: 80.366, Test Loss: 0.6674843618273735, Test Accuracy: 77.46
Epoch: 13, Train Loss: 0.5702763256209585, Train Accuracy: 80.3, Test Loss: 0.6009681424498559, Test Accuracy: 79.39
Epoch: 14, Train Loss: 0.5667687915932492, Train Accuracy: 80.35, Test Loss: 0.6777316990494728, Test Accuracy: 77.1
Epoch: 15, Train Loss: 0.5587407257550817, Train Accuracy: 80.788, Test Loss: 0.7007726377248764, Test Accuracy: 75.52
Epoch: 16, Train Loss: 0.5591788394829197, Train Accuracy: 80.532, Test Loss: 0.5812156486511231, Test Accuracy: 80.15
Epoch: 17, Train Loss: 0.5542876199840585, Train Accuracy: 80.966, Test Loss: 0.6058452937006951, Test Accuracy: 79.17
Epoch: 18, Train Loss: 0.5558451885914863, Train Accuracy: 80.938, Test Loss: 0.8982898688316345, Test Accuracy: 71.41
Epoch: 19, Train Loss: 0.5535552696803646, Train Accuracy: 80.834, Test Loss: 0.6881302973628044, Test Accuracy: 76.93
